Declaration Date,Declaration Title,Designated Area,Area Type,Incident Begin Date,Incident End Date
5/11/2018 5:30,KILAUEA VOLCANIC ERUPTION AND EARTHQUAKES,Hawaii,County,5/3/2018 5:30,8/17/2018 5:30
11/3/2014 5:30,PU'U O'O VOLCANIC ERUPTION AND LAVA FLOW,Hawaii,County,9/4/2014 5:30,3/25/2015 5:30
5/22/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Benewah,County,5/22/1980 5:30,5/22/1980 5:30
5/22/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Bonner,County,5/22/1980 5:30,5/22/1980 5:30
5/22/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Boundary,County,5/22/1980 5:30,5/22/1980 5:30
5/22/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Clearwater,County,5/22/1980 5:30,5/22/1980 5:30
5/22/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Kootenai,County,5/22/1980 5:30,5/22/1980 5:30
5/22/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Latah,County,5/22/1980 5:30,5/22/1980 5:30
5/22/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Nez Perce,County,5/22/1980 5:30,5/22/1980 5:30
5/22/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Shoshone,County,5/22/1980 5:30,5/22/1980 5:30
5/21/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Adams,County,5/21/1980 5:30,5/21/1980 5:30
5/21/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Asotin,County,5/21/1980 5:30,5/21/1980 5:30
5/21/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Benton,County,5/21/1980 5:30,5/21/1980 5:30
5/21/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Chelan,County,5/21/1980 5:30,5/21/1980 5:30
5/21/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Clallam,County,5/21/1980 5:30,5/21/1980 5:30
5/21/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Clark,County,5/21/1980 5:30,5/21/1980 5:30
5/21/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Columbia,County,5/21/1980 5:30,5/21/1980 5:30
5/21/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Cowlitz,County,5/21/1980 5:30,5/21/1980 5:30
5/21/1980 5:30,"VOLCANIC ERUPTION, MT. ST. HELENS",Douglas,County,5/21/1980 5:30,5/21/1980 5:30
